record_type,record_type_display_name,subrecords,subrecord_display_names,field,field_display_name,required
accession,Accession,"","",title,Title,n
accession,Accession,"","",slug,Slug,n
accession,Accession,"","",is_slug_auto,Automatically Generate Slug?,n
accession,Accession,"","",id_0,Identifier,y
accession,Accession,"","",id_1,Identifier 2,n
accession,Accession,"","",id_2,Identifier 3,n
accession,Accession,"","",id_3,Identifier 4,n
accession,Accession,"","",content_description,Content Description,n
accession,Accession,"","",condition_description,Condition Description,n
accession,Accession,"","",disposition,Disposition,n
accession,Accession,"","",inventory,Inventory,n
accession,Accession,"","",provenance,Provenance,n
accession,Accession,"","",accession_date,Accession Date,n
accession,Accession,"","",publish,Publish?,n
accession,Accession,"","",classifications,Classifications,n
accession,Accession,"","",subjects,Subjects,n
accession,Accession,"","",related_resources,Related Resources,n
accession,Accession,"","",component_links,Component Links,n
accession,Accession,"","",acquisition_type,Acquisition Type,n
accession,Accession,"","",resource_type,Resource Type,n
accession,Accession,"","",language,Language of Description,n
accession,Accession,"","",script,Script of Description,n
accession,Accession,"","",restrictions_apply,Restrictions Apply?,n
accession,Accession,"","",retention_rule,Retention Rule,n
accession,Accession,"","",general_note,General Note,n
accession,Accession,"","",access_restrictions,Access Restrictions?,n
accession,Accession,"","",access_restrictions_note,Access Restrictions Note,n
accession,Accession,"","",use_restrictions,Use Restrictions?,n
accession,Accession,"","",use_restrictions_note,Use Restrictions Note,n
accession,Accession,"","",linked_agents,Linked Agents,n
accession,Accession,external_ids,External IDs,external_id,External Id,if optional subrecord populated
accession,Accession,external_ids,External IDs,source,Source,if optional subrecord populated
accession,Accession,related_accessions,Related Accessions,relator,Relator,if optional subrecord populated
accession,Accession,related_accessions,Related Accessions,relator_type,Relator Type,if optional subrecord populated
accession,Accession,related_accessions,Related Accessions,ref,Ref,if optional subrecord populated
accession,Accession,related_accessions,Related Accessions,relator,Relator,if optional subrecord populated
accession,Accession,related_accessions,Related Accessions,relator_type,Relator Type,if optional subrecord populated
accession,Accession,related_accessions,Related Accessions,ref,Ref,if optional subrecord populated
accession,Accession,extents,Extents,portion,Portion,if optional subrecord populated
accession,Accession,extents,Extents,number,Number,if optional subrecord populated
accession,Accession,extents,Extents,extent_type,Extent Type,if optional subrecord populated
accession,Accession,extents,Extents,container_summary,Container Summary,n
accession,Accession,extents,Extents,physical_details,Physical Details,n
accession,Accession,extents,Extents,dimensions,Dimensions,n
accession,Accession,lang_materials/language_and_script,Languages/Languages,language,Language of Description,if optional subrecord populated
accession,Accession,lang_materials/language_and_script,Languages/Languages,script,Script of Description,n
accession,Accession,lang_materials/notes,Languages/Notes,label,Label,n
accession,Accession,lang_materials/notes,Languages/Notes,publish,Publish?,n
accession,Accession,lang_materials/notes,Languages/Notes,persistent_id,Persistent Id,n
accession,Accession,lang_materials/notes,Languages/Notes,ingest_problem,Ingest Problem,n
accession,Accession,lang_materials/notes,Languages/Notes,content,Content,if optional subrecord populated
accession,Accession,lang_materials/notes,Languages/Notes,type,Type,if optional subrecord populated
accession,Accession,dates,Dates,date_type,Date Type,if optional subrecord populated
accession,Accession,dates,Dates,label,Label,if optional subrecord populated
accession,Accession,dates,Dates,certainty,Certainty,n
accession,Accession,dates,Dates,expression,Expression,n
accession,Accession,dates,Dates,begin,Begin,n
accession,Accession,dates,Dates,end,End,n
accession,Accession,dates,Dates,era,Era,n
accession,Accession,dates,Dates,calendar,Calendar,n
accession,Accession,external_documents,External Documents,title,Title,if optional subrecord populated
accession,Accession,external_documents,External Documents,location,Location,if optional subrecord populated
accession,Accession,external_documents,External Documents,publish,Publish?,n
accession,Accession,rights_statements,Rights Statements,rights_type,Rights Type,if optional subrecord populated
accession,Accession,rights_statements,Rights Statements,identifier,Identifier,n
accession,Accession,rights_statements,Rights Statements,status,Status,n
accession,Accession,rights_statements,Rights Statements,determination_date,Determination Date,n
accession,Accession,rights_statements,Rights Statements,start_date,Start Date,n
accession,Accession,rights_statements,Rights Statements,end_date,End Date,n
accession,Accession,rights_statements,Rights Statements,license_terms,License Terms,n
accession,Accession,rights_statements,Rights Statements,statute_citation,Statute Citation,n
accession,Accession,rights_statements,Rights Statements,jurisdiction,Jurisdiction,n
accession,Accession,rights_statements,Rights Statements,other_rights_basis,Other Rights Basis,n
accession,Accession,rights_statements,Rights Statements,linked_agents,Linked Agents,n
accession,Accession,rights_statements/external_documents,Rights Statements/External Documents,title,Title,if optional subrecord populated
accession,Accession,rights_statements/external_documents,Rights Statements/External Documents,location,Location,if optional subrecord populated
accession,Accession,rights_statements/external_documents,Rights Statements/External Documents,publish,Publish?,n
accession,Accession,rights_statements/external_documents,Rights Statements/External Documents,identifier_type,Identifier Type,if optional subrecord populated
accession,Accession,rights_statements/acts,Rights Statements/Acts,act_type,Act Type,if optional subrecord populated
accession,Accession,rights_statements/acts,Rights Statements/Acts,restriction,Restriction,if optional subrecord populated
accession,Accession,rights_statements/acts,Rights Statements/Acts,start_date,Start Date,if optional subrecord populated
accession,Accession,rights_statements/acts,Rights Statements/Acts,end_date,End Date,n
accession,Accession,rights_statements/acts/notes,Rights Statements/Acts/Notes,label,Label,n
accession,Accession,rights_statements/acts/notes,Rights Statements/Acts/Notes,publish,Publish?,n
accession,Accession,rights_statements/acts/notes,Rights Statements/Acts/Notes,persistent_id,Persistent Id,n
accession,Accession,rights_statements/acts/notes,Rights Statements/Acts/Notes,ingest_problem,Ingest Problem,n
accession,Accession,rights_statements/acts/notes,Rights Statements/Acts/Notes,content,Content,if optional subrecord populated
accession,Accession,rights_statements/acts/notes,Rights Statements/Acts/Notes,type,Type,if optional subrecord populated
accession,Accession,rights_statements/notes,Rights Statements/Notes,label,Label,n
accession,Accession,rights_statements/notes,Rights Statements/Notes,publish,Publish?,n
accession,Accession,rights_statements/notes,Rights Statements/Notes,persistent_id,Persistent Id,n
accession,Accession,rights_statements/notes,Rights Statements/Notes,ingest_problem,Ingest Problem,n
accession,Accession,rights_statements/notes,Rights Statements/Notes,content,Content,if optional subrecord populated
accession,Accession,rights_statements/notes,Rights Statements/Notes,type,Type,if optional subrecord populated
accession,Accession,deaccessions,Deaccessions,scope,Scope,if optional subrecord populated
accession,Accession,deaccessions,Deaccessions,description,Description,if optional subrecord populated
accession,Accession,deaccessions,Deaccessions,reason,Reason,n
accession,Accession,deaccessions,Deaccessions,disposition,Disposition,n
accession,Accession,deaccessions,Deaccessions,notification,Notification,n
accession,Accession,deaccessions/date,Deaccessions/Dates,date_type,Date Type,n
accession,Accession,deaccessions/date,Deaccessions/Dates,label,Label,n
accession,Accession,deaccessions/date,Deaccessions/Dates,certainty,Certainty,n
accession,Accession,deaccessions/date,Deaccessions/Dates,expression,Expression,n
accession,Accession,deaccessions/date,Deaccessions/Dates,begin,Begin,n
accession,Accession,deaccessions/date,Deaccessions/Dates,end,End,n
accession,Accession,deaccessions/date,Deaccessions/Dates,era,Era,n
accession,Accession,deaccessions/date,Deaccessions/Dates,calendar,Calendar,n
accession,Accession,deaccessions/extents,Deaccessions/Extents,portion,Portion,if optional subrecord populated
accession,Accession,deaccessions/extents,Deaccessions/Extents,number,Number,if optional subrecord populated
accession,Accession,deaccessions/extents,Deaccessions/Extents,extent_type,Extent Type,if optional subrecord populated
accession,Accession,deaccessions/extents,Deaccessions/Extents,container_summary,Container Summary,n
accession,Accession,deaccessions/extents,Deaccessions/Extents,physical_details,Physical Details,n
accession,Accession,deaccessions/extents,Deaccessions/Extents,dimensions,Dimensions,n
accession,Accession,collection_management,Collection Management,processing_hours_per_foot_estimate,Processing Hours Per Foot Estimate,n
accession,Accession,collection_management,Collection Management,processing_total_extent,Processing Total Extent,n
accession,Accession,collection_management,Collection Management,processing_total_extent_type,Processing Total Extent Type,n
accession,Accession,collection_management,Collection Management,processing_hours_total,Processing Hours Total,n
accession,Accession,collection_management,Collection Management,processing_plan,Processing Plan,n
accession,Accession,collection_management,Collection Management,processing_priority,Processing Priority,n
accession,Accession,collection_management,Collection Management,processing_funding_source,Processing Funding Source,n
accession,Accession,collection_management,Collection Management,processors,Processors,n
accession,Accession,collection_management,Collection Management,rights_determined,Rights Determined,n
accession,Accession,collection_management,Collection Management,processing_status,Processing Status,n
accession,Accession,collection_management/external_ids,Collection Management/External IDs,external_id,External Id,if optional subrecord populated
accession,Accession,collection_management/external_ids,Collection Management/External IDs,source,Source,if optional subrecord populated
accession,Accession,user_defined,User Defined,boolean_1,Boolean 1,n
accession,Accession,user_defined,User Defined,boolean_2,Boolean 2,n
accession,Accession,user_defined,User Defined,boolean_3,Boolean 3,n
accession,Accession,user_defined,User Defined,integer_1,Integer 1,n
accession,Accession,user_defined,User Defined,integer_2,Integer 2,n
accession,Accession,user_defined,User Defined,integer_3,Integer 3,n
accession,Accession,user_defined,User Defined,real_1,Real 1,n
accession,Accession,user_defined,User Defined,real_2,Real 2,n
accession,Accession,user_defined,User Defined,real_3,Real 3,n
accession,Accession,user_defined,User Defined,string_1,String 1,n
accession,Accession,user_defined,User Defined,string_2,String 2,n
